shot_index,player_id,keeper_id,target,keeper_dive,result,keeper_touch,x,y,z,target_x,target_y,speed_z,speed_manual,projected_x,projected_y,projected_z,goalie_move_pre_kick,actual_x,actual_y,actual_z,error_x,error_y,speed_mph
48,1,1,RL,Left,G,0,3.325,0.955,0,3.435,0.611,22.82,22.83,3.325,0.955,0,0.3503503504,3.325,0.955,0,-0.11,0.344,46.69772727272727
49,1,1,RL,Right,F,0,4.219,1.189,0,3.435,0.611,22.25,21.8,4.219,1.189,0,0.4671338005,4.219,1.189,0,0.784,0.578,44.59090909090909
50,1,1,LH,Left,S,1,-3.052,1.179,0.785,-3.31,2.068,28.78,24.9,-3.266,1.184,0,0.6423089756,-3.052,1.179,0.785,0.044,-0.884,50.93181818181818
51,2,1,LL,Left,G,0,-3.687,0.4,0,-3.443,0.617,28.47,23.2,-3.687,0.4,0,0.3420086753,-3.687,0.4,0,-0.244,-0.217,47.45454545454545
52,2,1,LL,Left,G,0,-2.509,2.016,0,-3.443,0.617,28.94,25.24,-2.509,2.016,0,0.5505505506,-2.509,2.016,0,0.934,1.399,51.627272727272725
53,2,1,RL,Right,S,1,1.964,0.237,0.779,3.435,0.611,24.33,27.45,2.1,0.237,0,0.4504504505,1.964,0.237,0.779,-1.335,-0.374,56.14772727272727
54,2,1,LH,Left,S,1,-2.317,2.546,1.045,-3.31,2.068,24.32,23.04,-2.538,2.555,0,0.6339673006,-2.317,2.546,1.045,0.772,0.487,47.127272727272725
55,2,1,RH,Right,G,0,3.165,0.761,0,3.388,2.103,25.22,26.64,3.165,0.761,0,0.5005005005,3.165,0.761,0,-0.223,-1.342,54.49090909090909
56,3,1,RH,Right,F,0,2.421,2.752,0.038,3.388,2.103,21.34,23.2,2.421,2.752,0.038,0.6256256256,2.421,2.752,0.038,-0.967,0.649,47.45454545454545
57,3,1,LL,Right,G,0,-1.409,0.667,0,-3.443,0.617,26.47,25.24,-1.409,0.667,0,0.5088421755,-1.409,0.667,0,2.034,0.05,51.627272727272725
58,3,1,RL,Right,G,0,3.772,1.63,0,3.435,0.611,20.58,24.38,3.772,1.63,0,0.4838171505,3.772,1.63,0,0.337,1.019,49.86818181818182
59,3,1,LL,Left,S,1,-2.312,1.904,1.096,-3.443,0.617,24.93,22.54,-2.544,1.911,0,0.2585919253,-2.312,1.904,1.096,0.899,1.294,46.10454545454545
60,3,1,LL,Left,S,1,-1.71,0.251,0.88,-3.443,0.617,25.38,24.69,-1.845,0.251,0,0.3837170504,-1.71,0.251,0.88,1.598,-0.366,50.502272727272725
